Index,Quality,Angle (degrees),Distance (mm)
3,15,343.640625,259.0
3,15,345.890625,257.0
3,15,347.65625,255.0
3,15,348.25,253.75
3,15,350.03125,251.5
3,15,350.703125,248.25
3,15,353.140625,245.75
3,15,353.84375,244.5
3,15,356.375,243.75
4,15,356.640625,243.0
4,15,359.890625,242.0
4,15,1.296875,240.5
4,15,1.40625,239.25
4,15,3.296875,238.5
4,15,4.84375,238.25
4,15,5.234375,237.75
4,15,8.34375,237.75
4,15,7.890625,238.0
4,15,11.171875,239.0
4,15,12.578125,239.75
4,15,13.25,240.0
4,15,13.75,240.75
4,15,16.8125,241.25
4,15,16.21875,241.75
4,15,18.84375,243.5
4,15,19.71875,245.0
4,15,20.640625,245.25
4,15,22.203125,245.5
4,15,23.140625,247.5
4,15,26.015625,250.25
4,15,25.75,252.75
4,15,27.984375,254.25
4,15,29.15625,255.75
4,15,31.109375,257.0
4,15,31.25,259.75
4,15,33.203125,263.25
4,15,34.15625,266.5
4,15,36.453125,269.75
4,15,36.734375,272.5
4,15,47.6875,2527.5
4,15,49.09375,2491.75
4,15,50.46875,2490.0
4,15,51.9375,2454.25
4,15,54.78125,2321.75
4,15,56.234375,2260.25
4,15,57.609375,2202.25
4,15,59.0625,2151.25
4,15,60.484375,2103.25
4,15,61.890625,2062.5
4,15,74.78125,267.25
4,15,76.078125,263.0
4,15,76.6875,261.0
4,15,78.734375,258.75
4,15,79.421875,256.5
4,15,81.515625,255.0
4,14,82.5,253.5
4,15,84.3125,252.75
4,15,86.296875,252.75
4,15,88.171875,253.5
4,15,89.21875,256.0
4,15,89.671875,258.75
4,15,100.515625,375.0
4,15,101.8125,375.75
4,14,103.40625,377.25
4,15,104.390625,383.25
4,15,105.859375,389.25
4,15,107.375,393.0
4,15,108.84375,396.75
4,15,109.96875,401.5
4,15,111.21875,407.0
4,15,112.453125,413.0
4,15,113.96875,419.25
4,15,115.203125,425.75
4,15,116.78125,432.25
4,15,118.21875,440.0
4,15,119.46875,447.5
4,15,120.828125,455.75
4,15,122.203125,464.5
4,10,123.4375,474.0
4,15,124.84375,485.25
4,15,126.015625,496.5
4,14,127.296875,509.25
4,14,130.15625,542.0
4,15,138.71875,514.75
4,15,146.828125,1353.0
4,15,148.203125,1347.0
4,15,149.640625,1365.75
4,15,151.078125,1377.5
4,15,152.40625,1369.75
4,15,156.875,1198.75
4,15,158.265625,1192.5
4,15,159.765625,1190.5
4,15,161.078125,1186.25
4,15,162.59375,1179.25
4,15,163.96875,1167.75
4,15,165.421875,1148.75
4,15,166.8125,1128.5
4,15,168.328125,1106.75
4,15,176.5625,572.75
4,15,179.84375,512.5
4,15,181.15625,509.0
4,15,182.40625,509.0
4,15,183.890625,510.75
4,15,185.234375,514.75
4,15,186.640625,516.75
4,15,188.296875,513.0
4,15,189.640625,511.5
4,15,191.125,509.0
4,15,192.5625,501.0
4,15,193.75,501.25
4,15,195.15625,512.0
4,15,197.96875,508.0
4,15,199.390625,506.25
4,15,219.0625,525.75
4,15,220.4375,535.75
4,15,221.734375,540.25
4,15,223.359375,535.5
4,15,224.859375,526.75
4,15,226.25,525.0
4,15,229.296875,502.25
4,15,230.5625,491.5
4,15,232.203125,486.0
4,15,233.46875,480.0
4,15,234.90625,472.25
